t,roll,pitch,posture_roll,posture_pitch,roll_effort,offset_change,fsm,swing,brace
1766438667.166,0.000,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438667.222,0.000,0.000,0.000,0.000,0.020,0.000,IDLE,None,1
1766438667.279,-0.004,0.000,0.000,0.000,0.004,0.000,IDLE,None,1
1766438667.339,-0.004,0.000,0.000,0.000,0.001,0.000,IDLE,None,1
1766438667.398,-0.004,0.000,0.000,0.000,0.001,0.000,IDLE,None,1
1766438667.455,-0.004,0.000,0.000,0.000,0.001,0.000,IDLE,None,1
1766438667.513,-0.003,0.000,0.000,0.000,0.015,0.000,IDLE,None,0
1766438667.570,-0.003,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438667.627,-0.003,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438667.684,-0.003,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438667.741,-0.003,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438667.797,-0.003,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438667.854,-0.003,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438667.911,-0.003,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438667.967,-0.002,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438668.024,-0.002,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438668.080,-0.002,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438668.136,-0.002,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438668.192,-0.002,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438668.248,-0.002,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438668.305,-0.002,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438668.361,-0.002,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438668.418,-0.002,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438668.474,-0.002,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438668.531,-0.002,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438668.587,-0.002,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766438668.643,-0.002,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
