t,roll,pitch,posture_roll,posture_pitch,roll_effort,offset_change,fsm,swing,brace
1766109484.683,0.000,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766109484.741,-0.045,0.026,0.000,0.000,0.079,0.079,IDLE,None,1
1766109484.799,-0.021,0.046,0.000,0.000,0.003,0.000,IDLE,None,1
1766109484.857,-0.019,0.106,0.000,0.000,0.006,0.000,IDLE,None,1
1766109484.913,0.037,0.115,0.000,0.000,0.020,0.000,IDLE,None,1
1766109484.971,0.149,0.133,0.000,0.000,0.078,0.095,IDLE,None,1
1766109485.028,0.053,0.325,0.000,0.000,0.178,0.178,IDLE,None,0
1766109485.086,-0.231,0.445,0.000,0.000,0.334,0.334,IDLE,None,0
1766109485.143,-0.690,0.281,0.000,0.000,0.458,0.458,IDLE,None,0
1766109485.201,-1.305,-0.016,0.000,0.000,0.568,0.568,IDLE,None,0
1766109485.257,-1.736,-0.298,0.000,0.000,0.245,0.245,IDLE,None,0
1766109485.315,-1.497,-0.489,0.000,0.000,0.560,0.560,IDLE,None,0
1766109485.371,-1.361,-0.542,0.000,0.000,0.022,0.000,IDLE,None,0
1766109485.428,-1.545,-0.562,0.000,0.000,0.327,0.305,IDLE,None,0
1766109485.484,-2.133,-0.500,0.000,0.000,0.674,0.674,IDLE,None,0
1766109485.540,-2.907,-0.387,0.000,0.000,0.692,0.692,IDLE,None,0
1766109485.596,-3.543,-0.206,0.000,0.000,0.438,0.438,IDLE,None,0
1766109485.652,-4.023,-0.125,0.000,0.000,0.292,0.292,IDLE,None,0
1766109485.708,-3.969,-0.181,0.000,0.000,0.318,0.318,IDLE,None,0
1766109485.765,-3.867,-0.245,0.000,0.000,0.089,0.089,IDLE,None,0
1766109485.822,-4.131,-0.240,0.000,0.000,0.406,0.406,IDLE,None,0
1766109485.878,-4.558,-0.207,0.000,0.000,0.420,0.420,IDLE,None,0
1766109485.935,-5.091,-0.177,0.000,0.000,0.447,0.447,IDLE,None,0
1766109485.991,-5.386,-0.005,0.000,0.000,0.141,0.141,IDLE,None,0
1766109486.048,-5.037,0.117,0.000,0.000,0.618,0.618,IDLE,None,0
1766109486.105,-4.590,0.195,0.000,0.000,0.386,0.386,IDLE,None,0
1766109486.161,-4.546,0.223,0.000,0.000,0.185,0.185,IDLE,None,0
1766109486.217,-4.999,0.301,0.000,0.000,0.596,0.596,IDLE,None,0
1766109486.274,-5.557,0.370,0.000,0.000,0.510,0.510,IDLE,None,0
1766109486.330,-5.911,0.298,0.000,0.000,0.172,0.172,IDLE,None,0
1766109486.386,-5.974,0.234,0.000,0.000,0.135,0.135,IDLE,None,0
1766109486.442,-6.149,0.231,0.000,0.000,0.230,0.230,IDLE,None,0
1766109486.499,-6.441,0.271,0.000,0.000,0.288,0.288,IDLE,None,0
1766109486.556,-6.966,0.384,0.000,0.000,0.542,0.542,IDLE,None,0
1766109486.612,-7.470,0.535,0.000,0.000,0.380,0.380,IDLE,None,0
1766109486.668,-7.706,0.690,0.000,0.000,0.030,0.000,IDLE,None,0
1766109486.725,-7.831,0.785,0.000,0.000,0.062,0.092,IDLE,None,0
1766109486.781,-8.323,0.913,0.000,0.000,0.600,0.600,IDLE,None,0
1766109486.838,-9.299,1.153,0.000,0.000,1.038,1.038,IDLE,None,0
1766109486.894,-10.038,1.334,0.000,0.000,0.457,0.457,IDLE,None,0
1766109486.951,-10.005,1.195,0.000,0.000,0.460,0.460,IDLE,None,0
1766109487.007,-9.902,1.063,0.000,0.000,0.115,0.115,IDLE,None,0
1766109487.064,-9.950,1.039,0.000,0.000,0.130,0.130,IDLE,None,0
1766109487.120,-10.132,1.020,0.000,0.000,0.256,0.256,IDLE,None,0
1766109487.176,-10.733,1.105,0.000,0.000,0.656,0.656,IDLE,None,0
1766109487.237,-11.706,1.283,0.000,0.000,0.990,0.990,IDLE,None,0
1766109487.293,-12.516,1.462,0.000,0.000,0.519,0.519,IDLE,None,0
1766109487.350,-12.812,1.594,0.000,0.000,0.016,0.000,IDLE,None,0
