t,roll,pitch,posture_roll,posture_pitch,roll_effort,offset_change,fsm,swing,brace
1766108827.309,0.000,0.000,0.000,0.000,0.000,0.000,IDLE,None,0
1766108827.367,0.000,0.000,0.000,0.000,0.021,0.000,IDLE,None,1
1766108827.424,0.000,0.000,0.000,0.000,0.002,0.000,IDLE,None,1
1766108827.482,0.000,0.000,0.000,0.000,0.002,0.000,IDLE,None,1
1766108827.539,0.000,0.000,0.000,0.000,0.001,0.000,IDLE,None,1
1766108827.597,-0.004,0.000,0.000,0.000,0.003,0.000,IDLE,None,1
1766108827.655,-0.004,0.000,0.000,0.000,0.016,0.000,IDLE,None,0
1766108827.713,-0.003,-0.032,0.000,0.000,0.000,0.000,IDLE,None,0
1766108827.769,-0.003,-0.031,0.000,0.000,0.000,0.000,IDLE,None,0
1766108827.826,-0.007,-0.029,0.000,0.000,0.003,0.000,IDLE,None,0
1766108827.883,-0.007,-0.028,0.000,0.000,0.000,0.000,IDLE,None,0
1766108827.940,-0.007,-0.027,0.000,0.000,0.000,0.000,IDLE,None,0
1766108827.996,-0.011,-0.026,0.000,0.000,0.003,0.000,IDLE,None,0
1766108828.052,-0.014,-0.025,0.000,0.000,0.003,0.000,IDLE,None,0
1766108828.109,-0.014,-0.024,0.000,0.000,0.000,0.000,IDLE,None,0
1766108828.165,-0.013,-0.023,0.000,0.000,0.000,0.000,IDLE,None,0
1766108828.221,-0.013,-0.022,0.000,0.000,0.000,0.000,IDLE,None,0
1766108828.277,-0.012,-0.021,0.000,0.000,0.000,0.000,IDLE,None,0
1766108828.334,-0.012,-0.020,0.000,0.000,0.000,0.000,IDLE,None,0
1766108828.390,-0.011,-0.020,0.000,0.000,0.000,0.000,IDLE,None,0
1766108828.447,-0.011,-0.019,0.000,0.000,0.000,0.000,IDLE,None,0
1766108828.504,-0.010,-0.018,0.000,0.000,0.000,0.000,IDLE,None,0
1766108828.560,-0.014,-0.017,0.000,0.000,0.003,0.000,IDLE,None,0
1766108828.616,-0.013,-0.017,0.000,0.000,0.000,0.000,IDLE,None,0
1766108828.673,-0.013,-0.016,0.000,0.000,0.000,0.000,IDLE,None,0
1766108828.729,-0.012,-0.015,0.000,0.000,0.000,0.000,IDLE,None,0
1766108828.785,-0.012,-0.015,0.000,0.000,0.000,0.000,IDLE,None,0
1766108828.842,-0.017,-0.014,0.000,0.000,0.004,0.000,IDLE,None,0
1766108828.898,-0.016,-0.014,0.000,0.000,0.001,0.000,IDLE,None,0
1766108828.954,-0.015,-0.013,0.000,0.000,0.001,0.000,IDLE,None,0
1766108829.011,-0.015,-0.012,0.000,0.000,0.000,0.000,IDLE,None,0
1766108829.067,-0.014,-0.012,0.000,0.000,0.000,0.000,IDLE,None,0
1766108829.123,-0.013,-0.012,0.000,0.000,0.000,0.000,IDLE,None,0
1766108829.179,-0.018,-0.011,0.000,0.000,0.004,0.000,IDLE,None,0
1766108829.236,-0.017,-0.011,0.000,0.000,0.001,0.000,IDLE,None,0
1766108829.292,-0.017,-0.010,0.000,0.000,0.001,0.000,IDLE,None,0
1766108829.349,-0.016,-0.010,0.000,0.000,0.001,0.000,IDLE,None,0
1766108829.405,-0.015,-0.009,0.000,0.000,0.001,0.000,IDLE,None,0
1766108829.461,-0.015,-0.009,0.000,0.000,0.000,0.000,IDLE,None,0
1766108829.518,-0.014,-0.004,0.000,0.000,0.000,0.000,IDLE,None,0
1766108829.574,-0.014,-0.004,0.000,0.000,0.000,0.000,IDLE,None,0
1766108829.631,-0.013,-0.004,0.000,0.000,0.000,0.000,IDLE,None,0
1766108829.687,-0.013,-0.004,0.000,0.000,0.000,0.000,IDLE,None,0
1766108829.744,-0.012,-0.004,0.000,0.000,0.000,0.000,IDLE,None,0
1766108829.801,-0.012,-0.003,0.000,0.000,0.000,0.000,IDLE,None,0
1766108829.857,-0.011,-0.003,0.000,0.000,0.000,0.000,IDLE,None,0
1766108829.913,-0.011,-0.003,0.000,0.000,0.000,0.000,IDLE,None,0
1766108829.969,-0.010,-0.003,0.000,0.000,0.000,0.000,IDLE,None,0
1766108830.025,-0.010,-0.003,0.000,0.000,0.000,0.000,IDLE,None,0
1766108830.081,-0.009,-0.003,0.000,0.000,0.000,0.000,IDLE,None,0
1766108830.138,-0.009,-0.003,0.000,0.000,0.000,0.000,IDLE,None,0
1766108830.194,-0.009,-0.003,0.000,0.000,0.000,0.000,IDLE,None,0
1766108830.252,-0.008,-0.003,0.000,0.000,0.000,0.000,IDLE,None,0
1766108830.308,-0.008,-0.035,0.000,0.000,0.000,0.000,IDLE,None,0
1766108830.364,-0.008,-0.033,0.000,0.000,0.000,0.000,IDLE,None,0
1766108830.420,-0.007,-0.032,0.000,0.000,0.000,0.000,IDLE,None,0
1766108830.476,-0.007,-0.031,0.000,0.000,0.000,0.000,IDLE,None,0
1766108830.533,-0.007,-0.030,0.000,0.000,0.000,0.000,IDLE,None,0
1766108830.589,-0.007,-0.028,0.000,0.000,0.000,0.000,IDLE,None,0
1766108830.647,-0.006,-0.027,0.000,0.000,0.000,0.000,IDLE,None,0
1766108830.703,-0.006,-0.026,0.000,0.000,0.000,0.000,IDLE,None,0
