t,roll,pitch,dz_fl,dz_fr,dz_rl,dz_rr
0.0135,1.227,-0.649,-0.00093,0.00038,-0.00038,0.00093
0.047,0.49,-0.513,-0.00115,0.00016,-0.00016,0.00115
0.0808,0.142,-0.22,-0.00115,0.00016,-0.00016,0.00115
0.1146,-0.205,0.653,-0.00087,0.00044,-0.00044,0.00087
0.1481,-0.703,1.78,0.00026,0.00082,-0.00082,-0.00026
0.1814,-1.486,2.821,0.00226,0.00123,-0.00123,-0.00226
0.2148,-2.32,3.569,0.00502,0.00152,-0.00152,-0.00502
0.2482,-2.701,4.15,0.00823,0.00185,-0.00185,-0.00823
0.2817,-2.127,4.28,0.01119,0.00254,-0.00254,-0.01119
0.3153,-1.394,3.828,0.01357,0.00343,-0.00343,-0.01357
0.3486,-1.018,3.466,0.01559,0.00437,-0.00437,-0.01559
0.3821,-0.851,3.106,0.01737,0.00524,-0.00524,-0.01737
0.4154,-0.52,2.824,0.01885,0.00616,-0.00616,-0.01885
0.449,-0.331,2.495,0.01992,0.00723,-0.00723,-0.01992
0.4824,-0.248,2.075,0.0208,0.00811,-0.00811,-0.0208
0.5134,-0.264,1.619,0.02149,0.00881,-0.00881,-0.02149
0.5446,-0.304,1.174,0.02199,0.00931,-0.00931,-0.02199
0.5747,-0.311,0.776,0.02232,0.00964,-0.00964,-0.02232
0.605,-0.299,0.468,0.02232,0.00964,-0.00964,-0.02232
0.6358,-0.186,0.296,0.02232,0.00964,-0.00964,-0.02232
0.6661,-0.056,0.182,0.02232,0.00964,-0.00964,-0.02232
0.6962,0.114,0.123,0.02232,0.00964,-0.00964,-0.02232
0.7279,0.262,0.048,0.02232,0.00964,-0.00964,-0.02232
0.7585,0.301,-0.028,0.02232,0.00964,-0.00964,-0.02232
0.7889,0.325,-0.218,0.02232,0.00964,-0.00964,-0.02232
0.8201,0.3,-0.488,0.02232,0.00964,-0.00964,-0.02232
0.8534,0.243,-0.833,0.02197,0.00928,-0.00928,-0.02197
0.8836,0.176,-1.262,0.02143,0.00874,-0.00874,-0.02143
0.915,0.14,-1.85,0.02064,0.00795,-0.00795,-0.02064
0.9451,0.067,-2.44,0.0196,0.00691,-0.00691,-0.0196
0.9785,0.016,-3.021,0.01831,0.00562,-0.00562,-0.01831
1.0097,0.034,-3.613,0.01677,0.00408,-0.00408,-0.01677
1.0409,0.316,-4.023,0.01505,0.00237,-0.00237,-0.01505
1.0716,0.694,-4.173,0.0129,0.00096,-0.00096,-0.0129
1.1028,0.799,-4.255,0.01066,-0.00043,0.00043,-0.01066
1.1334,0.858,-4.277,0.00838,-0.0018,0.0018,-0.00838
1.1638,0.906,-4.096,0.00615,-0.00307,0.00307,-0.00615
1.1966,0.924,-3.716,0.00407,-0.00416,0.00416,-0.00407
1.227,0.857,-3.309,0.0022,-0.00511,0.00511,-0.0022
1.2572,0.799,-2.912,0.00053,-0.00593,0.00593,-0.00053
1.29,0.758,-2.39,-0.00089,-0.00654,0.00654,0.00089
1.3203,0.754,-1.809,-0.00207,-0.00691,0.00691,0.00207
