t,roll,pitch,roll_rate,pitch_rate,FL_x,FL_y,FL_z,FR_x,FR_y,FR_z,RL_x,RL_y,RL_z,RR_x,RR_y,RR_z
0.000,0.00,0.00,0.00,0.00,0.0207,0.0800,-0.1700,-0.0239,-0.0800,-0.1700,-0.0170,0.0800,-0.1700,0.0292,-0.0800,-0.1700
0.034,0.00,0.00,-19.49,0.02,0.0177,0.0800,-0.1700,-0.0283,-0.0800,-0.1700,-0.0201,0.0800,-0.1700,0.0249,-0.0800,-0.1700
0.064,-0.35,0.00,-23.37,15.39,0.0149,0.0800,-0.1699,-0.0264,-0.0800,-0.1642,-0.0188,0.0800,-0.1639,0.0210,-0.0800,-0.1701
0.094,-0.65,0.58,-25.73,19.15,0.0122,0.0800,-0.1707,-0.0223,-0.0800,-0.1586,-0.0158,0.0800,-0.1561,0.0172,-0.0800,-0.1693
0.124,-1.16,0.41,-34.34,-23.64,0.0095,0.0800,-0.1702,-0.0178,-0.0800,-0.1531,-0.0126,0.0800,-0.1508,0.0134,-0.0800,-0.1698
0.154,-1.61,0.29,1.14,-17.54,0.0068,0.0800,-0.1698,-0.0129,-0.0800,-0.1490,-0.0091,0.0800,-0.1468,0.0095,-0.0800,-0.1702
0.184,-1.84,0.20,17.84,8.16,0.0040,0.0800,-0.1696,-0.0078,-0.0800,-0.1463,-0.0055,0.0800,-0.1442,0.0057,-0.0800,-0.1704
0.215,-2.11,0.14,-6.25,1.22,0.0013,0.0800,-0.1694,-0.0025,-0.0800,-0.1450,-0.0018,0.0800,-0.1428,0.0018,-0.0800,-0.1706
0.245,-2.33,0.10,2.97,-11.49,-0.0014,0.0800,-0.1692,0.0028,-0.0800,-0.1450,0.0020,0.0800,-0.1428,-0.0020,-0.0800,-0.1708
0.275,-2.51,0.07,4.43,-6.02,-0.0041,0.0800,-0.1691,0.0080,-0.0800,-0.1464,0.0057,0.0800,-0.1442,-0.0058,-0.0800,-0.1709
0.305,-2.65,-0.26,11.53,-5.00,-0.0069,0.0800,-0.1685,0.0130,-0.0800,-0.1487,0.0092,0.0800,-0.1474,-0.0097,-0.0800,-0.1715
0.335,-2.61,-0.56,24.32,-2.70,-0.0096,0.0800,-0.1680,0.0179,-0.0800,-0.1522,0.0127,0.0800,-0.1519,-0.0135,-0.0800,-0.1720
0.365,-2.51,-0.76,7.97,5.00,-0.0123,0.0800,-0.1677,0.0224,-0.0800,-0.1573,0.0159,0.0800,-0.1577,-0.0173,-0.0800,-0.1723
0.395,-2.37,-1.07,9.43,-14.28,-0.0150,0.0800,-0.1673,0.0265,-0.0800,-0.1635,0.0188,0.0800,-0.1650,-0.0211,-0.0800,-0.1727
