t,FOOT_FLF,FOOT_FLF_contact,FOOT_FRF,FOOT_FRF_contact,FOOT_RLF,FOOT_RLF_contact,FOOT_RRF,FOOT_RRF_contact,MID_FLM,MID_FRM,MID_RLM,MID_RRM,SHOULDER_FL,SHOULDER_FR,SHOULDER_RL,SHOULDER_RR
1768602604.993,61.01,1.0,129.99,1.0,78.07,1.0,129.09,1.0,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08
1768602605.054,61.01,1.0,129.99,1.0,78.07,1.0,129.09,1.0,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08
1768602605.116,61.01,1.0,129.99,1.0,78.07,1.0,129.09,1.0,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08
1768602605.179,61.01,1.0,129.99,1.0,78.07,1.0,129.09,1.0,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08
1768602605.241,61.01,1.0,129.99,1.0,78.07,1.0,129.09,1.0,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08
1768602605.302,61.01,1.0,129.99,1.0,78.07,1.0,129.09,1.0,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08
1768602605.364,61.01,1.0,129.99,1.0,78.07,1.0,129.09,1.0,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08
1768602605.425,61.01,1.0,129.99,1.0,78.07,1.0,129.09,1.0,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08
1768602605.486,61.01,1.0,129.99,1.0,78.07,1.0,129.09,1.0,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08
1768602605.547,61.01,1.0,129.99,1.0,78.07,1.0,129.09,1.0,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08
1768602605.61,61.01,1.0,129.99,1.0,78.07,1.0,129.09,1.0,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08
1768602605.672,61.01,1.0,129.99,1.0,78.07,1.0,129.09,1.0,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08
1768602605.733,61.01,1.0,129.99,1.0,78.07,1.0,129.09,1.0,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08
1768602605.794,61.01,1.0,129.99,1.0,78.07,1.0,129.09,1.0,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08
1768602605.857,61.01,1.0,129.99,1.0,78.07,1.0,129.09,1.0,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08
1768602605.918,61.01,1.0,129.99,1.0,78.07,1.0,129.09,1.0,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08
1768602605.98,62.48,1.0,131.42,1.0,79.58,1.0,130.58,1.0,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08
1768602606.042,64.71,1.0,133.68,1.0,81.83,1.0,132.83,1.0,165.0,104.0,154.0,102.0,47.22,38.22,39.22,39.22
1768602606.103,66.4,1.0,136.05,1.0,84.19,1.0,134.5,1.0,165.0,104.0,154.0,102.0,48.12,39.12,40.12,40.12
1768602606.164,68.13,1.0,137.79,1.0,85.91,1.0,136.22,1.0,165.0,104.0,154.0,102.0,49.62,40.62,41.62,41.62
1768602606.225,69.36,1.0,139.2,1.0,87.31,1.0,137.45,1.0,165.0,104.0,154.0,102.0,51.12,42.12,43.12,43.12
1768602606.287,71.73,1.0,138.57,1.0,86.67,1.0,139.81,1.0,165.0,104.0,154.0,102.0,52.62,43.62,44.62,44.62
1768602606.35,73.57,1.0,137.42,1.0,85.5,1.0,141.65,1.0,165.0,104.0,154.0,102.0,54.12,45.12,46.12,46.12
1768602606.414,72.82,1.0,137.77,1.0,85.82,1.0,140.89,1.0,165.0,104.0,154.0,102.0,55.62,46.62,47.62,47.62
1768602606.475,72.0,1.0,137.06,1.0,85.11,1.0,140.07,1.0,165.0,104.0,154.0,102.0,57.12,48.12,49.12,49.12
1768602606.537,70.5,1.0,136.12,1.0,84.15,1.0,138.57,1.0,165.0,104.0,154.0,102.0,57.84,48.84,49.84,49.84
1768602606.599,67.36,1.0,135.98,1.0,84.0,1.0,135.42,1.0,165.0,104.0,154.0,102.0,56.37,47.37,48.37,48.37
1768602606.661,64.6,1.0,134.76,1.0,82.78,1.0,132.66,1.0,165.0,104.0,154.0,102.0,55.25,46.25,47.25,47.25
