t,FOOT_FLF,FOOT_FRF,FOOT_RLF,FOOT_RRF,MID_FLM,MID_FRM,MID_RLM,MID_RRM,SHOULDER_FL,SHOULDER_FR,SHOULDER_RL,SHOULDER_RR,offset_change,pitch,posture_pitch,posture_roll,roll,roll_effort
1768602604.993,61.01,129.99,78.07,129.09,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08,0.0,-0.01,0.0,0.0,-1.35,0.0
1768602605.054,61.01,129.99,78.07,129.09,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08,0.0,-0.01,0.0,0.0,-1.35,0.0
1768602605.116,61.01,129.99,78.07,129.09,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08,0.0,-0.01,0.0,0.0,-1.34,0.002
1768602605.179,61.01,129.99,78.07,129.09,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08,0.0,-0.01,0.0,0.0,-1.34,0.001
1768602605.241,61.01,129.99,78.07,129.09,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08,0.0,-0.01,0.0,0.0,-1.35,0.002
1768602605.302,61.01,129.99,78.07,129.09,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08,0.0,-0.01,0.0,0.0,-1.34,0.001
1768602605.364,61.01,129.99,78.07,129.09,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08,0.0,-0.01,0.0,0.0,-1.35,0.003
1768602605.425,61.01,129.99,78.07,129.09,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08,0.0,-0.01,0.0,0.0,-1.35,0.001
1768602605.486,61.01,129.99,78.07,129.09,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08,0.0,-0.01,0.0,0.0,-1.34,0.004
1768602605.547,61.01,129.99,78.07,129.09,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08,0.0,-0.01,0.0,0.0,-1.35,0.003
1768602605.61,61.01,129.99,78.07,129.09,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08,0.0,-0.01,0.0,0.0,-1.34,0.004
1768602605.672,61.01,129.99,78.07,129.09,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08,0.0,-0.01,0.0,0.0,-1.34,0.001
1768602605.733,61.01,129.99,78.07,129.09,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08,0.0,-0.01,0.0,0.0,-1.35,0.003
1768602605.794,61.01,129.99,78.07,129.09,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08,0.0,-0.01,0.0,0.0,-1.35,0.0
1768602605.857,61.01,129.99,78.07,129.09,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08,0.0,-0.01,0.0,0.0,-1.35,0.0
1768602605.918,61.01,129.99,78.07,129.09,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08,0.0,-0.01,0.0,0.0,-1.35,0.002
1768602605.98,62.48,131.42,79.58,130.58,165.0,104.0,154.0,102.0,47.08,38.08,39.08,39.08,0.0,-0.01,0.0,0.0,-1.35,0.0
1768602606.042,64.71,133.68,81.83,132.83,165.0,104.0,154.0,102.0,47.22,38.22,39.22,39.22,0.131,0.05,0.0,0.0,-1.4,0.137
1768602606.103,66.4,136.05,84.19,134.5,165.0,104.0,154.0,102.0,48.12,39.12,40.12,40.12,0.904,0.28,0.0,0.0,-2.1,0.904
1768602606.164,68.13,137.79,85.91,136.22,165.0,104.0,154.0,102.0,49.62,40.62,41.62,41.62,1.5,0.4,0.0,0.0,-3.66,1.703
1768602606.225,69.36,139.2,87.31,137.45,165.0,104.0,154.0,102.0,51.12,42.12,43.12,43.12,1.5,0.53,0.0,0.0,-5.79,1.86
1768602606.287,71.73,138.57,86.67,139.81,165.0,104.0,154.0,102.0,52.62,43.62,44.62,44.62,1.5,0.45,0.0,0.0,-7.89,6.475
1768602606.35,73.57,137.42,85.5,141.65,165.0,104.0,154.0,102.0,54.12,45.12,46.12,46.12,1.5,0.85,0.0,0.0,-9.22,0.181
1768602606.414,72.82,137.77,85.82,140.89,165.0,104.0,154.0,102.0,55.62,46.62,47.62,47.62,1.5,1.46,0.0,0.0,-10.47,0.073
1768602606.475,72.0,137.06,85.11,140.07,165.0,104.0,154.0,102.0,57.12,48.12,49.12,49.12,1.5,1.43,0.0,0.0,-11.86,0.1
1768602606.537,70.5,136.12,84.15,138.57,165.0,104.0,154.0,102.0,57.84,48.84,49.84,49.84,0.725,1.54,0.0,0.0,-12.6,0.303
1768602606.599,67.36,135.98,84.0,135.42,165.0,104.0,154.0,102.0,56.37,47.37,48.37,48.37,1.477,1.72,0.0,0.0,-12.85,1.477
1768602606.661,64.6,134.76,82.78,132.66,165.0,104.0,154.0,102.0,55.25,46.25,47.25,47.25,1.115,1.15,0.0,0.0,-12.15,1.115
1768602606.724,62.85,131.96,79.97,130.91,165.0,104.0,154.0,102.0,53.75,44.75,45.75,45.75,1.5,0.54,0.0,0.0,-10.7,1.537
1768602606.785,60.38,129.81,77.82,128.43,165.0,104.0,154.0,102.0,52.25,43.25,44.25,44.25,1.5,0.32,0.0,0.0,-8.17,2.519
1768602606.847,58.29,127.33,75.34,126.34,165.0,104.0,154.0,102.0,50.75,41.75,42.75,42.75,1.5,0.09,0.0,0.0,-5.96,1.508
